Score Threshold,Dice Threshold,Consider Score,Consider Dice,Smart,Count
300,2,False,True,True,124
500,1,True,False,True,124
550,3,False,True,False,124
250,4,False,True,True,124
900,3,True,True,True,124
900,1,True,True,True,124
150,1,True,True,True,124
750,1,True,True,True,124
150,2,False,True,False,124
150,3,False,True,False,124
700,1,True,False,False,123
650,4,True,False,False,123
850,4,False,True,True,123
850,1,True,True,False,123
700,3,False,True,False,123
300,2,False,True,False,123
200,1,True,False,False,123
400,0,True,False,True,122
550,1,True,False,True,122
250,2,True,True,False,122
600,2,True,False,False,122
600,2,True,False,True,122
700,2,True,False,False,122
150,1,True,False,False,122
200,3,True,True,False,122
550,2,True,False,True,122
250,2,False,True,True,121
550,1,True,True,True,121
100,3,False,True,False,121
200,0,True,False,False,121
650,3,False,True,True,121
200,3,False,True,True,121
150,3,True,False,True,121
700,3,True,True,True,121
550,3,True,False,True,121
250,3,True,True,True,121
900,4,False,True,True,120
400,4,True,False,True,120
900,4,True,True,True,120
500,0,True,True,False,120
600,0,True,False,True,120
50,2,False,True,True,120
600,2,False,True,True,120
700,2,True,False,True,120
450,4,True,True,True,120
200,0,True,True,True,119
600,0,True,True,True,119
150,1,True,True,False,119
400,2,False,True,False,119
450,1,True,False,False,118
650,3,False,True,False,118
500,0,True,False,True,118
450,4,False,True,True,118
600,4,True,False,True,118
500,3,True,True,True,118
550,4,False,True,True,118
1000,4,False,True,True,118
350,2,False,True,True,118
300,3,True,True,False,118
700,1,True,True,True,118
800,2,False,True,True,117
400,4,True,True,False,117
400,3,False,True,False,117
450,0,True,False,False,117
550,4,True,False,False,117
200,4,False,True,True,117
900,1,True,True,False,117
100,2,False,True,False,117
600,3,True,False,False,117
150,2,True,True,False,116
700,4,True,True,False,116
750,0,True,True,False,116
450,3,True,True,False,116
600,1,True,True,True,116
850,4,True,True,True,116
150,4,False,True,True,116
750,3,False,True,True,116
700,4,True,False,False,115
150,3,True,False,False,115
450,2,False,True,True,115
650,4,False,True,True,115
650,4,False,True,False,115
200,1,True,True,False,115
850,2,False,True,False,115
350,4,False,True,True,115
100,2,True,True,True,115
700,4,False,True,False,115
700,1,True,False,True,115
500,4,True,False,True,115
500,4,False,True,True,114
600,4,True,False,False,114
50,4,False,True,True,114
550,0,True,True,True,114
800,2,False,True,False,114
550,0,True,True,False,114
400,4,False,True,True,114
400,4,True,True,True,114
500,4,False,True,False,114
150,2,True,True,True,113
150,4,True,False,True,113
600,4,False,True,False,113
700,4,True,False,True,113
600,3,True,False,True,113
150,0,True,True,False,113
150,0,True,False,True,113
100,4,False,True,True,113
500,3,True,True,False,113
750,2,True,False,False,113
150,0,True,False,False,113
650,4,True,False,True,112
150,0,True,True,True,112
250,4,False,True,False,112
600,4,True,True,False,112
850,1,True,True,True,112
650,0,True,True,False,112
550,1,True,False,False,111
950,1,True,True,False,111
600,0,True,False,False,111
150,4,True,False,False,111
450,2,False,True,False,111
700,3,True,False,True,111
600,4,True,True,True,111
350,4,True,True,False,110
500,4,True,True,False,110
800,0,True,True,False,110
750,3,True,False,False,110
500,4,True,False,False,110
650,1,True,False,False,109
650,0,True,False,False,109
650,2,True,False,False,109
150,3,True,True,False,109
900,4,True,True,False,109
100,0,True,False,True,109
850,4,False,True,False,109
700,2,False,True,True,109
550,4,True,True,True,109
750,4,True,False,False,109
700,4,False,True,True,108
700,0,True,True,False,108
800,4,True,True,False,108
