Winner,Score,Rounds,Score Threshold,Dice Threshold,Consider Score,Consider Dice,Smart
Player 257,10550,18,,,,,
Player 264,10250,19,,,,,
Player 270,10700,9,,,,,
Player 271,10350,9,,,,,
Player 276,10050,19,,,,,
Player 283,11400,14,,,,,
Player 288,10000,16,,,,,
Player 293,10600,26,,,,,
Player 297,10850,15,,,,,
Player 304,10600,17,,,,,
Player 309,10000,18,,,,,
Player 314,10150,18,,,,,
Player 319,10450,15,,,,,
Player 323,11550,20,,,,,
Player 329,10650,18,,,,,
Player 333,10200,17,,,,,
Player 337,11200,18,,,,,
Player 341,10100,16,,,,,
Player 348,10700,16,,,,,
Player 354,11450,14,,,,,
Player 359,10900,23,,,,,
Player 362,10700,12,,,,,
Player 366,10100,18,,,,,
Player 371,10500,11,,,,,
Player 379,11000,23,,,,,
Player 382,10750,16,,,,,
Player 388,11500,17,,,,,
Player 394,10050,14,,,,,
Player 397,10200,15,,,,,
Player 402,10350,19,,,,,
Player 407,10650,13,,,,,
Player 411,10750,11,,,,,
Player 416,11750,16,,,,,
Player 425,10700,19,,,,,
Player 427,10150,11,,,,,
Player 434,10150,18,,,,,
Player 437,11850,15,,,,,
Player 445,11450,21,,,,,
Player 448,10150,20,,,,,
Player 451,10550,15,,,,,
Player 456,11050,19,,,,,
Player 461,11550,19,,,,,
Player 467,11750,18,,,,,
Player 472,10050,16,,,,,
Player 478,10250,21,,,,,
Player 484,11350,18,,,,,
Player 489,10450,14,,,,,
Player 491,10400,18,,,,,
Player 498,10350,17,,,,,
Player 502,10350,20,,,,,
Player 507,10300,20,,,,,
Player 512,10050,17,,,,,
Player 516,11350,12,,,,,
Player 524,11100,19,,,,,
Player 528,10200,19,,,,,
Player 533,10250,13,,,,,
Player 540,11450,18,,,,,
Player 545,10000,18,,,,,
Player 547,10300,20,,,,,
Player 555,10750,14,,,,,
Player 558,10250,20,,,,,
Player 565,10500,20,,,,,
Player 570,10050,17,,,,,
Player 575,10000,22,,,,,
Player 579,10100,9,,,,,
Player 582,10200,17,,,,,
Player 590,10700,15,,,,,
Player 592,10300,11,,,,,
Player 598,10100,16,,,,,
Player 601,10400,18,,,,,
Player 609,10100,17,,,,,
Player 615,11150,15,,,,,
Player 619,14250,19,,,,,
Player 624,10050,22,,,,,
Player 626,10200,18,,,,,
Player 631,11700,17,,,,,
Player 637,11600,17,,,,,
Player 642,11250,20,,,,,
Player 647,10350,16,,,,,
Player 655,10300,21,,,,,
Player 656,10100,19,,,,,
Player 663,10500,22,,,,,
Player 666,11950,18,,,,,
Player 672,10250,20,,,,,
Player 680,10200,16,,,,,
Player 683,11000,16,,,,,
Player 689,10350,15,,,,,
Player 691,10200,18,,,,,
Player 700,10500,24,,,,,
Player 701,11350,17,,,,,
Player 708,10050,19,,,,,
Player 714,10450,12,,,,,
Player 716,10200,15,,,,,
Player 723,10000,16,,,,,
Player 727,10800,14,,,,,
Player 735,11350,16,,,,,
Player 737,10250,14,,,,,
Player 745,10200,15,,,,,
Player 747,10550,12,,,,,
Player 754,10950,14,,,,,
Player 756,11550,26,,,,,
Player 763,10200,19,,,,,
Player 768,10100,21,,,,,
Player 775,10700,23,,,,,
Player 780,10600,17,,,,,
Player 784,10550,6,,,,,
Player 789,10900,21,,,,,
Player 791,10050,14,,,,,
Player 799,11100,21,,,,,
Player 5,10100,11,,,,,
Player 6,10400,12,,,,,
Player 15,11000,18,,,,,
Player 16,11450,14,,,,,
Player 23,10200,16,,,,,
Player 27,10500,18,,,,,
Player 32,11450,19,,,,,
Player 38,10500,15,,,,,
