Winner,Score,Rounds,Score Threshold,Dice Threshold,Consider Score,Consider Dice,Smart
Player 609,13000,13,,,,,
Player 613,10150,10,,,,,
Player 618,10150,19,,,,,
Player 624,10400,17,,,,,
Player 628,10000,18,,,,,
Player 632,10300,13,,,,,
Player 636,10800,14,,,,,
Player 645,10400,20,,,,,
Player 649,10800,14,,,,,
Player 655,10400,20,,,,,
Player 660,11850,20,,,,,
Player 664,11850,20,,,,,
Player 668,12000,15,,,,,
Player 672,11100,21,,,,,
Player 679,11300,28,,,,,
Player 685,10050,18,,,,,
Player 687,10050,17,,,,,
Player 694,10300,22,,,,,
Player 698,11350,16,,,,,
Player 703,10400,20,,,,,
Player 710,10050,17,,,,,
Player 715,10000,17,,,,,
Player 719,13500,18,,,,,
Player 722,10300,18,,,,,
Player 728,10350,12,,,,,
Player 735,10450,20,,,,,
Player 736,10050,21,,,,,
Player 743,10250,17,,,,,
Player 749,10200,16,,,,,
Player 755,10500,12,,,,,
Player 760,11000,13,,,,,
Player 761,10650,12,,,,,
Player 769,11150,15,,,,,
Player 773,10250,17,,,,,
Player 778,10050,13,,,,,
Player 784,11400,18,,,,,
Player 786,10450,20,,,,,
Player 794,10450,19,,,,,
Player 797,10000,10,,,,,
Player 2,10150,25,,,,,
Player 6,10950,20,,,,,
Player 14,13100,19,,,,,
Player 18,10850,17,,,,,
Player 21,12500,15,,,,,
Player 29,11550,18,,,,,
Player 35,10250,10,,,,,
Player 39,12650,14,,,,,
Player 43,11500,13,,,,,
Player 48,11050,15,,,,,
Player 51,10750,16,,,,,
Player 60,12350,19,,,,,
Player 64,10300,19,,,,,
Player 69,10400,13,,,,,
Player 75,10900,17,,,,,
Player 79,11400,19,,,,,
Player 83,10000,19,,,,,
Player 86,10800,14,,,,,
Player 92,10900,24,,,,,
Player 100,10050,18,,,,,
Player 103,10300,15,,,,,
Player 108,11250,19,,,,,
Player 112,10850,19,,,,,
Player 116,10750,16,,,,,
Player 123,10650,22,,,,,
Player 127,10000,20,,,,,
Player 134,11300,20,,,,,
Player 138,11200,16,,,,,
Player 144,11250,14,,,,,
Player 148,10900,18,,,,,
Player 153,10400,19,,,,,
Player 156,10550,14,,,,,
Player 161,11250,17,,,,,
Player 168,10900,11,,,,,
Player 173,11450,21,,,,,
Player 178,10650,19,,,,,
Player 185,12900,20,,,,,
Player 186,11300,17,,,,,
Player 195,11300,20,,,,,
Player 196,10650,18,,,,,
Player 202,11300,16,,,,,
Player 209,10150,12,,,,,
Player 214,11100,22,,,,,
Player 218,11800,19,,,,,
Player 223,10600,6,,,,,
Player 229,10650,5,,,,,
Player 232,10600,22,,,,,
Player 240,11850,11,,,,,
Player 245,10100,17,,,,,
Player 249,11450,21,,,,,
Player 255,10750,16,,,,,
Player 260,10050,15,,,,,
Player 262,11100,14,,,,,
Player 270,10300,14,,,,,
Player 272,10300,19,,,,,
Player 280,12000,17,,,,,
Player 285,10500,14,,,,,
Player 289,11950,18,,,,,
Player 295,10800,18,,,,,
Player 296,10850,21,,,,,
Player 301,10100,15,,,,,
Player 308,10100,18,,,,,
Player 313,11500,14,,,,,
Player 316,10600,27,,,,,
Player 324,10200,17,,,,,
Player 327,10000,14,,,,,
Player 331,10750,16,,,,,
Player 340,10500,21,,,,,
Player 341,10000,14,,,,,
Player 348,10450,13,,,,,
Player 352,10150,15,,,,,
Player 359,10550,16,,,,,
Player 365,11000,17,,,,,
Player 366,10150,12,,,,,
Player 372,10100,17,,,,,
Player 379,11600,18,,,,,
Player 383,10450,30,,,,,
Player 390,10900,12,,,,,
Player 395,11950,17,,,,,
Player 398,10500,18,,,,,
Player 403,10150,12,,,,,
Player 409,11650,16,,,,,
Player 411,10200,21,,,,,
Player 417,10200,13,,,,,
Player 421,10050,14,,,,,
Player 430,10750,8,,,,,
Player 433,13000,14,,,,,
Player 438,10650,15,,,,,
Player 441,10000,17,,,,,
Player 448,10200,18,,,,,
Player 453,11850,20,,,,,
Player 457,10300,16,,,,,
Player 462,10950,17,,,,,
Player 470,10650,21,,,,,
Player 474,10200,12,,,,,
Player 478,12850,21,,,,,
Player 484,11050,16,,,,,
Player 487,11800,22,,,,,
Player 494,11300,18,,,,,
Player 499,10800,21,,,,,
Player 503,10650,16,,,,,
Player 508,10900,14,,,,,
Player 514,10300,17,,,,,
Player 519,10600,28,,,,,
Player 522,11500,17,,,,,
Player 530,10200,14,,,,,
Player 535,10400,15,,,,,
Player 537,10200,14,,,,,
Player 543,10450,17,,,,,
Player 550,11250,15,,,,,
Player 555,10300,16,,,,,
Player 558,10350,16,,,,,
Player 562,10150,22,,,,,
Player 567,10150,17,,,,,
Player 575,10450,15,,,,,
Player 579,10200,19,,,,,
Player 584,10250,16,,,,,
Player 588,10600,18,,,,,
Player 595,10650,14,,,,,
Player 596,10150,12,,,,,
Player 603,11600,17,,,,,
Player 608,10300,13,,,,,
Player 612,10000,17,,,,,
Player 618,10250,16,,,,,
Player 624,10300,15,,,,,
Player 630,10700,14,,,,,
Player 631,10100,15,,,,,
Player 640,10600,20,,,,,
Player 643,10200,11,,,,,
Player 649,10650,11,,,,,
Player 653,11000,24,,,,,
Player 656,13050,17,,,,,
Player 663,10450,14,,,,,
Player 667,10150,14,,,,,
Player 671,10150,19,,,,,
Player 679,11500,19,,,,,
Player 684,10950,17,,,,,
Player 689,10100,13,,,,,
Player 693,11450,21,,,,,
Player 699,11150,16,,,,,
Player 703,10300,16,,,,,
Player 708,10150,12,,,,,
Player 712,10050,16,,,,,
Player 717,10750,24,,,,,
Player 722,10300,19,,,,,
Player 726,10600,19,,,,,
Player 735,10600,16,,,,,
Player 740,10700,15,,,,,
Player 742,10200,14,,,,,
Player 746,10250,28,,,,,
Player 755,11050,18,,,,,
Player 759,10850,20,,,,,
Player 765,10800,13,,,,,
Player 767,10100,17,,,,,
Player 775,11450,17,,,,,
Player 780,10050,14,,,,,
Player 783,10000,10,,,,,
Player 787,10000,19,,,,,
Player 795,10250,12,,,,,
Player 797,10200,17,,,,,
Player 5,10200,16,,,,,
Player 10,10150,20,,,,,
Player 13,10450,14,,,,,
Player 20,10450,10,,,,,
Player 22,10100,28,,,,,
Player 28,10000,20,,,,,
Player 31,11350,22,,,,,
Player 37,10100,16,,,,,
Player 41,10650,13,,,,,
Player 46,10400,8,,,,,
Player 51,10250,15,,,,,
Player 59,10000,16,,,,,
Player 64,10000,12,,,,,
Player 67,10150,15,,,,,
Player 75,10350,22,,,,,
Player 79,12250,23,,,,,
Player 81,10550,18,,,,,
Player 90,10000,13,,,,,
Player 95,10050,14,,,,,
Player 98,10500,23,,,,,
Player 101,10150,25,,,,,
Player 107,11200,14,,,,,
Player 112,10000,15,,,,,
Player 117,10000,12,,,,,
Player 125,10300,11,,,,,
Player 128,10000,11,,,,,
Player 135,10650,11,,,,,
Player 140,11000,16,,,,,
Player 141,11650,15,,,,,
Player 150,11750,12,,,,,
Player 155,10800,16,,,,,
Player 157,11450,15,,,,,
Player 164,11300,19,,,,,
Player 166,11250,18,,,,,
Player 173,11500,12,,,,,
Player 176,11350,18,,,,,
Player 184,10050,13,,,,,
Player 189,10650,14,,,,,
Player 194,10300,14,,,,,
Player 199,10100,17,,,,,
Player 203,10750,16,,,,,
Player 206,10850,12,,,,,
Player 211,10000,14,,,,,
Player 219,11550,17,,,,,
Player 225,11200,18,,,,,
Player 226,10500,14,,,,,
Player 233,10500,12,,,,,
Player 240,10500,15,,,,,
Player 244,10700,22,,,,,
Player 250,10050,17,,,,,
Player 254,11050,15,,,,,
Player 259,10000,17,,,,,
Player 265,10250,19,,,,,
Player 270,10200,19,,,,,
Player 272,10450,16,,,,,
Player 280,10200,10,,,,,
Player 285,11250,16,,,,,
Player 287,11600,17,,,,,
Player 293,10250,23,,,,,
Player 300,10300,20,,,,,
Player 302,10250,15,,,,,
Player 307,10000,16,,,,,
Player 313,10000,13,,,,,
Player 316,10400,12,,,,,
Player 325,10100,14,,,,,
Player 329,10100,17,,,,,
Player 334,10050,13,,,,,
Player 338,11400,19,,,,,
Player 341,11300,10,,,,,
Player 350,10150,12,,,,,
Player 353,10200,13,,,,,
Player 359,11250,18,,,,,
Player 361,10500,16,,,,,
Player 368,11050,19,,,,,
Player 372,10150,20,,,,,
Player 378,10000,16,,,,,
Player 384,11550,17,,,,,
Player 389,10550,14,,,,,
Player 392,10250,16,,,,,
Player 399,10150,15,,,,,
Player 402,10700,19,,,,,
Player 406,10700,17,,,,,
Player 411,10700,21,,,,,
Player 417,10200,16,,,,,
Player 424,11350,18,,,,,
Player 429,10550,15,,,,,
Player 432,10000,26,,,,,
Player 438,10200,21,,,,,
Player 442,10500,25,,,,,
Player 447,11550,18,,,,,
Player 452,10150,10,,,,,
Player 460,10450,14,,,,,
Player 462,10050,14,,,,,
Player 466,14100,22,,,,,
Player 474,10250,17,,,,,
Player 476,10500,19,,,,,
Player 482,10250,19,,,,,
Player 486,10100,16,,,,,
Player 495,10200,16,,,,,
Player 496,10400,15,,,,,
Player 505,10100,18,,,,,
Player 507,10450,11,,,,,
Player 513,10300,21,,,,,
Player 517,10850,21,,,,,
Player 525,10050,14,,,,,
Player 529,10050,16,,,,,
Player 531,11100,16,,,,,
Player 536,10850,20,,,,,
Player 542,11200,19,,,,,
Player 548,10250,18,,,,,
Player 551,10300,22,,,,,
Player 558,12050,13,,,,,
Player 564,10000,12,,,,,
Player 568,10100,18,,,,,
Player 574,10200,20,,,,,
Player 580,10250,15,,,,,
Player 585,11550,17,,,,,
Player 588,11700,17,,,,,
Player 595,10300,9,,,,,
Player 596,10850,16,,,,,
Player 601,10950,19,,,,,
Player 609,11250,19,,,,,
Player 614,11250,12,,,,,
Player 619,10000,15,,,,,
Player 624,10200,23,,,,,
Player 630,10700,22,,,,,
Player 632,10350,15,,,,,
Player 636,10950,20,,,,,
Player 644,10000,12,,,,,
Player 646,10500,16,,,,,
Player 653,11150,17,,,,,
Player 657,10900,13,,,,,
Player 664,10150,12,,,,,
Player 668,10150,22,,,,,
Player 675,10200,16,,,,,
Player 680,10250,16,,,,,
Player 681,10250,18,,,,,
Player 688,10000,15,,,,,
Player 694,12300,13,,,,,
Player 698,11350,20,,,,,
Player 703,10850,20,,,,,
Player 706,11750,15,,,,,
Player 714,11550,20,,,,,
Player 716,10950,11,,,,,
Player 721,10450,9,,,,,
Player 730,11350,14,,,,,
Player 733,11850,16,,,,,
Player 737,12000,21,,,,,
Player 745,11300,16,,,,,
Player 749,12200,14,,,,,
Player 753,11200,19,,,,,
Player 760,10000,16,,,,,
Player 764,10100,19,,,,,
Player 769,10000,15,,,,,
Player 772,10150,20,,,,,
Player 777,10050,14,,,,,
Player 781,10250,24,,,,,
Player 790,10050,14,,,,,
Player 792,11650,21,,,,,
Player 796,10250,16,,,,,
Player 1,11350,12,,,,,
Player 10,10450,21,,,,,
Player 12,10600,14,,,,,
Player 17,10100,20,,,,,
Player 23,10000,22,,,,,
Player 29,10150,9,,,,,
Player 33,11700,16,,,,,
Player 37,10650,21,,,,,
Player 43,10600,15,,,,,
Player 47,10600,20,,,,,
Player 53,10000,21,,,,,
Player 58,10100,15,,,,,
Player 63,10750,15,,,,,
Player 67,10700,13,,,,,
Player 72,10150,17,,,,,
Player 78,10250,14,,,,,
Player 84,11000,22,,,,,
Player 87,10350,19,,,,,
Player 91,10050,14,,,,,
Player 100,10150,13,,,,,
Player 104,10000,18,,,,,
Player 106,10100,8,,,,,
Player 112,10200,19,,,,,
Player 116,10050,15,,,,,
Player 123,10200,21,,,,,
Player 129,10000,18,,,,,
Player 135,10400,22,,,,,
Player 136,10750,15,,,,,
Player 145,10900,21,,,,,
Player 146,10150,17,,,,,
Player 151,12000,14,,,,,
Player 156,10300,7,,,,,
Player 165,10350,16,,,,,
Player 168,10050,18,,,,,
Player 173,11150,17,,,,,
Player 176,10500,13,,,,,
Player 185,10200,15,,,,,
Player 187,10050,19,,,,,
Player 195,11150,16,,,,,
Player 197,10200,20,,,,,
Player 205,10150,17,,,,,
Player 210,10050,21,,,,,
Player 211,10100,13,,,,,
Player 218,10150,16,,,,,
Player 222,12050,19,,,,,
Player 226,13050,17,,,,,
Player 231,10050,19,,,,,
Player 240,10100,23,,,,,
Player 242,10600,18,,,,,
Player 249,11050,16,,,,,
Player 252,10800,17,,,,,
Player 260,10650,15,,,,,
Player 261,12400,17,,,,,
Player 267,10450,14,,,,,
Player 274,11000,27,,,,,
Player 279,10300,21,,,,,
Player 285,10500,17,,,,,
Player 286,11550,14,,,,,
Player 294,10500,16,,,,,
Player 297,10150,14,,,,,
Player 301,10000,12,,,,,
Player 307,10050,13,,,,,
Player 311,11150,10,,,,,
Player 319,10500,12,,,,,
Player 324,10200,17,,,,,
Player 328,10750,17,,,,,
Player 334,10600,15,,,,,
Player 336,10550,19,,,,,
Player 343,10000,14,,,,,
Player 349,10650,25,,,,,
Player 355,10250,17,,,,,
Player 359,10500,16,,,,,
Player 361,10450,14,,,,,
Player 368,11950,17,,,,,
Player 372,11200,22,,,,,
Player 377,10300,25,,,,,
Player 384,10300,16,,,,,
Player 390,10250,12,,,,,
Player 391,10600,21,,,,,
Player 398,10800,19,,,,,
Player 402,10200,19,,,,,
Player 406,10050,19,,,,,
Player 411,13450,18,,,,,
Player 419,10350,12,,,,,
Player 423,10000,18,,,,,
Player 426,10400,15,,,,,
Player 433,10200,12,,,,,
Player 436,10250,21,,,,,
Player 445,10000,14,,,,,
Player 448,10200,21,,,,,
Player 455,10950,22,,,,,
Player 458,10350,15,,,,,
Player 464,12550,19,,,,,
Player 469,10600,18,,,,,
Player 475,13000,18,,,,,
Player 476,10050,23,,,,,
Player 483,10100,16,,,,,
Player 486,11250,19,,,,,
Player 492,10100,18,,,,,
Player 496,10750,18,,,,,
Player 502,10900,18,,,,,
Player 507,10500,23,,,,,
Player 511,11550,15,,,,,
Player 517,10350,14,,,,,
Player 525,10150,13,,,,,
Player 528,11350,16,,,,,
Player 532,10150,10,,,,,
Player 540,11150,13,,,,,
Player 541,13000,18,,,,,
Player 549,11000,17,,,,,
Player 554,10300,14,,,,,
Player 559,10100,17,,,,,
Player 562,11600,22,,,,,
Player 566,10300,14,,,,,
Player 575,10800,17,,,,,
Player 580,12100,22,,,,,
Player 585,13000,22,,,,,
Player 586,10650,19,,,,,
Player 593,10100,15,,,,,
Player 598,10100,20,,,,,
Player 605,11650,15,,,,,
Player 607,10450,12,,,,,
Player 611,11400,23,,,,,
Player 617,10150,12,,,,,
Player 621,10750,19,,,,,
Player 627,11300,14,,,,,
Player 633,10500,15,,,,,
Player 639,10050,19,,,,,
Player 644,10150,11,,,,,
Player 648,10550,21,,,,,
Player 655,10650,23,,,,,
Player 657,10550,8,,,,,
Player 661,10300,13,,,,,
Player 670,12350,15,,,,,
Player 672,11450,14,,,,,
Player 678,10850,14,,,,,
Player 685,10900,17,,,,,
Player 687,10150,13,,,,,
Player 691,10250,16,,,,,
Player 698,10500,23,,,,,
Player 705,11100,13,,,,,
Player 709,10600,16,,,,,
Player 713,10100,14,,,,,
Player 719,11500,17,,,,,
Player 724,11550,21,,,,,
Player 727,10400,21,,,,,
Player 731,11450,16,,,,,
Player 740,11550,20,,,,,
Player 745,10500,13,,,,,
Player 746,10750,14,,,,,
Player 754,12550,16,,,,,
Player 759,10000,12,,,,,
Player 761,10050,13,,,,,
Player 770,10050,12,,,,,
Player 773,10550,18,,,,,
Player 779,10500,20,,,,,
Player 785,10300,14,,,,,
Player 789,10050,21,,,,,
Player 794,10650,18,,,,,
Player 798,11450,12,,,,,
Player 4,10050,19,,,,,
Player 8,10100,17,,,,,
Player 15,10500,22,,,,,
Player 17,10900,25,,,,,
Player 23,10900,14,,,,,
Player 30,10550,23,,,,,
Player 34,11800,14,,,,,
Player 37,10700,15,,,,,
Player 45,11150,18,,,,,
Player 46,10150,18,,,,,
Player 54,11000,18,,,,,
Player 57,11800,20,,,,,
Player 62,10050,19,,,,,
Player 70,10900,20,,,,,
Player 72,11250,15,,,,,
Player 76,10400,17,,,,,
Player 83,10750,23,,,,,
Player 86,11100,10,,,,,
Player 91,10600,17,,,,,
Player 98,10000,12,,,,,
Player 104,10050,13,,,,,
Player 106,10300,15,,,,,
Player 111,12950,21,,,,,
Player 119,10500,13,,,,,
Player 124,11050,20,,,,,
Player 129,10500,21,,,,,
Player 131,10350,18,,,,,
Player 140,10600,14,,,,,
Player 142,10150,9,,,,,
Player 147,10300,14,,,,,
Player 151,10150,17,,,,,
Player 160,10250,27,,,,,
Player 161,10050,13,,,,,
Player 167,11200,15,,,,,
Player 175,10600,14,,,,,
Player 179,10100,16,,,,,
Player 182,11350,19,,,,,
Player 188,11300,21,,,,,
Player 195,10500,15,,,,,
Player 198,11000,14,,,,,
Player 204,11400,16,,,,,
Player 206,13050,15,,,,,
Player 211,11250,17,,,,,
Player 216,10300,16,,,,,
Player 224,10200,19,,,,,
Player 230,10200,12,,,,,
Player 232,12600,18,,,,,
Player 239,10200,15,,,,,
Player 241,10050,15,,,,,
Player 249,10350,25,,,,,
Player 254,10100,22,,,,,
Player 258,10450,10,,,,,
Player 265,11100,23,,,,,
Player 270,10050,24,,,,,
Player 273,11250,24,,,,,
Player 280,10050,22,,,,,
Player 285,10700,19,,,,,
Player 288,11000,13,,,,,
Player 291,10800,15,,,,,
Player 296,11300,15,,,,,
Player 304,10150,16,,,,,
Player 309,11700,12,,,,,
Player 314,10450,15,,,,,
Player 320,12500,16,,,,,
Player 322,10850,22,,,,,
Player 329,10150,16,,,,,
Player 334,10600,21,,,,,
Player 338,10000,21,,,,,
Player 342,10100,17,,,,,
Player 350,10050,18,,,,,
Player 352,10650,15,,,,,
Player 360,10700,17,,,,,
Player 363,11200,12,,,,,
Player 370,11300,20,,,,,
Player 373,10750,17,,,,,
Player 380,10000,12,,,,,
Player 384,10550,18,,,,,
Player 386,10250,24,,,,,
Player 391,10450,12,,,,,
Player 397,10050,21,,,,,
Player 403,10200,20,,,,,
Player 409,10300,15,,,,,
Player 412,10700,18,,,,,
Player 419,10300,15,,,,,
Player 423,10750,19,,,,,
Player 426,10350,24,,,,,
Player 432,11750,22,,,,,
Player 437,10050,16,,,,,
Player 444,10600,15,,,,,
Player 449,10250,15,,,,,
Player 452,10450,13,,,,,
Player 456,11050,18,,,,,
Player 463,10150,15,,,,,
Player 467,10850,17,,,,,
Player 475,10150,21,,,,,
Player 477,12400,15,,,,,
Player 485,11750,10,,,,,
Player 487,11850,18,,,,,
Player 494,10700,16,,,,,
Player 499,10250,22,,,,,
Player 503,10250,15,,,,,
Player 510,10400,21,,,,,
Player 515,11200,15,,,,,
Player 519,11450,16,,,,,
Player 523,10650,20,,,,,
Player 527,10500,19,,,,,
Player 535,10300,8,,,,,
Player 538,10000,13,,,,,
Player 545,10300,20,,,,,
Player 547,11350,16,,,,,
Player 552,10750,16,,,,,
Player 560,10050,12,,,,,
Player 563,11450,16,,,,,
Player 567,10350,17,,,,,
Player 575,10550,19,,,,,
Player 577,10250,16,,,,,
Player 583,10400,17,,,,,
Player 586,12400,14,,,,,
Player 593,10150,23,,,,,
Player 600,12000,12,,,,,
Player 601,10400,10,,,,,
Player 606,11400,14,,,,,
Player 611,10500,19,,,,,
Player 619,10450,15,,,,,
Player 625,10150,13,,,,,
Player 628,10250,14,,,,,
Player 631,11500,15,,,,,
Player 640,11150,18,,,,,
Player 645,10450,24,,,,,
Player 649,10600,9,,,,,
Player 651,10750,13,,,,,
Player 656,10700,16,,,,,
Player 663,10550,19,,,,,
Player 667,11400,14,,,,,
Player 674,10450,14,,,,,
Player 680,10450,21,,,,,
Player 681,10000,16,,,,,
Player 690,10350,14,,,,,
Player 693,10100,22,,,,,
Player 697,10800,12,,,,,
Player 703,10000,20,,,,,
Player 709,10000,17,,,,,
Player 715,10000,11,,,,,
Player 718,10700,16,,,,,
Player 725,10950,20,,,,,
Player 727,11500,12,,,,,
Player 735,11450,18,,,,,
Player 736,10250,8,,,,,
Player 744,10150,20,,,,,
Player 750,10050,17,,,,,
Player 753,10800,16,,,,,
Player 760,11200,18,,,,,
Player 765,11250,11,,,,,
Player 769,10000,14,,,,,
Player 772,10250,20,,,,,
Player 780,10700,8,,,,,
Player 781,10200,21,,,,,
Player 786,10000,16,,,,,
Player 791,10300,22,,,,,
Player 797,10250,19,,,,,
Player 4,10500,19,,,,,
Player 7,12700,16,,,,,
Player 14,10750,10,,,,,
Player 18,11000,18,,,,,
Player 25,10100,19,,,,,
Player 28,10000,18,,,,,
Player 34,10900,15,,,,,
Player 38,10200,13,,,,,
Player 41,10050,17,,,,,
Player 50,10000,18,,,,,
Player 54,12150,18,,,,,
Player 56,11150,12,,,,,
Player 65,10000,12,,,,,
Player 68,11250,21,,,,,
Player 74,10450,18,,,,,
Player 78,10300,19,,,,,
Player 82,10450,26,,,,,
Player 87,10000,17,,,,,
Player 93,10800,26,,,,,
Player 100,10000,15,,,,,
Player 105,10500,18,,,,,
Player 107,10800,15,,,,,
Player 114,10250,16,,,,,
Player 120,10600,17,,,,,
Player 121,10450,17,,,,,
Player 127,10750,16,,,,,
Player 134,11850,15,,,,,
Player 140,13650,13,,,,,
Player 142,10800,12,,,,,
Player 147,11400,23,,,,,
Player 151,10400,16,,,,,
Player 157,10850,16,,,,,
Player 161,10100,18,,,,,
Player 167,10350,16,,,,,
Player 173,10000,19,,,,,
Player 176,10300,18,,,,,
Player 185,11250,16,,,,,
Player 189,10400,20,,,,,
Player 191,11800,16,,,,,
Player 198,12200,17,,,,,
Player 202,12950,20,,,,,
Player 208,10000,10,,,,,
Player 215,11050,16,,,,,
Player 220,11150,19,,,,,
Player 225,10700,25,,,,,
Player 226,10000,14,,,,,
Player 233,10950,14,,,,,
Player 239,13400,16,,,,,
Player 244,10200,16,,,,,
Player 246,10200,20,,,,,
Player 253,10700,16,,,,,
Player 256,10000,16,,,,,
Player 262,10100,19,,,,,
Player 269,10850,25,,,,,
Player 271,10250,15,,,,,
Player 279,11300,13,,,,,
Player 285,11600,24,,,,,
Player 288,11450,20,,,,,
Player 291,10150,22,,,,,
Player 300,10100,17,,,,,
Player 302,11700,25,,,,,
Player 308,10550,16,,,,,
Player 312,11450,20,,,,,
Player 319,12200,21,,,,,
Player 321,11150,10,,,,,
Player 327,10100,22,,,,,
Player 335,13450,20,,,,,
Player 336,10800,18,,,,,
Player 344,10050,16,,,,,
Player 346,10000,11,,,,,
Player 352,10750,19,,,,,
Player 360,10100,13,,,,,
Player 361,10150,21,,,,,
Player 367,10100,17,,,,,
Player 375,10600,16,,,,,
Player 378,10050,22,,,,,
Player 384,11700,21,,,,,
Player 386,10200,16,,,,,
Player 395,10450,13,,,,,
Player 397,10550,15,,,,,
Player 401,10200,18,,,,,
Player 406,10150,15,,,,,
Player 415,10300,17,,,,,
Player 417,10000,14,,,,,
Player 424,11650,18,,,,,
Player 426,10450,21,,,,,
Player 432,10050,15,,,,,
Player 437,10150,20,,,,,
Player 441,10200,19,,,,,
Player 446,10150,16,,,,,
Player 451,10300,14,,,,,
Player 456,11050,18,,,,,
Player 464,10200,22,,,,,
Player 469,10750,19,,,,,
Player 475,10300,11,,,,,
Player 478,10250,19,,,,,
Player 482,10200,12,,,,,
Player 489,12000,21,,,,,
Player 491,10500,21,,,,,
Player 496,10500,14,,,,,
Player 502,10400,14,,,,,
Player 508,10150,19,,,,,
Player 515,10100,18,,,,,
Player 517,10900,22,,,,,
Player 522,10500,13,,,,,
Player 527,10700,14,,,,,
Player 534,10250,20,,,,,
Player 537,10300,14,,,,,
Player 542,10850,12,,,,,
Player 547,10950,16,,,,,
Player 551,10500,19,,,,,
Player 558,10450,18,,,,,
Player 564,10850,22,,,,,
Player 570,10700,16,,,,,
Player 571,12450,15,,,,,
Player 580,10050,14,,,,,
Player 582,10900,14,,,,,
Player 589,11750,15,,,,,
Player 593,11950,18,,,,,
Player 596,10000,17,,,,,
Player 602,10050,19,,,,,
Player 610,10050,14,,,,,
Player 612,10000,12,,,,,
Player 618,10850,17,,,,,
Player 624,10200,16,,,,,
Player 628,10250,15,,,,,
Player 631,10500,22,,,,,
Player 638,10850,14,,,,,
Player 641,10000,14,,,,,
Player 646,11500,13,,,,,
Player 652,10000,13,,,,,
Player 658,11150,22,,,,,
Player 664,10200,16,,,,,
Player 669,10150,23,,,,,
Player 671,10350,18,,,,,
Player 680,11300,15,,,,,
Player 683,11200,20,,,,,
Player 690,11550,20,,,,,
Player 693,10200,18,,,,,
Player 697,10650,11,,,,,
Player 702,10200,8,,,,,
Player 710,12050,17,,,,,
Player 715,10650,22,,,,,
Player 717,10350,17,,,,,
Player 722,10500,17,,,,,
Player 726,10050,19,,,,,
Player 731,10050,17,,,,,
Player 740,10650,21,,,,,
Player 742,10050,17,,,,,
Player 746,10100,20,,,,,
Player 753,10300,15,,,,,
Player 757,10200,25,,,,,
Player 761,10450,17,,,,,
Player 770,11950,21,,,,,
Player 773,10500,18,,,,,
Player 776,10400,16,,,,,
Player 785,10350,12,,,,,
Player 790,10150,14,,,,,
Player 791,10750,18,,,,,
Player 800,10900,14,,,,,
Player 5,10350,22,,,,,
Player 10,10200,18,,,,,
Player 14,10250,20,,,,,
Player 20,11500,23,,,,,
Player 23,10300,17,,,,,
Player 27,10600,15,,,,,
Player 35,10150,15,,,,,
Player 40,10700,15,,,,,
Player 42,10150,14,,,,,
Player 48,11200,20,,,,,
Player 54,10650,19,,,,,
Player 56,10200,12,,,,,
Player 61,10400,15,,,,,
Player 66,10000,18,,,,,
Player 75,10350,16,,,,,
Player 79,10400,14,,,,,
Player 82,10550,16,,,,,
Player 89,13150,15,,,,,
Player 92,10500,9,,,,,
Player 97,10050,20,,,,,
Player 102,10400,16,,,,,
Player 109,11950,20,,,,,
Player 114,10350,17,,,,,
Player 116,10150,17,,,,,
Player 124,10650,13,,,,,
Player 129,11200,18,,,,,
Player 134,11950,19,,,,,
Player 139,10150,10,,,,,
Player 143,10000,16,,,,,
Player 149,12650,11,,,,,
Player 151,10300,18,,,,,
Player 157,11650,17,,,,,
Player 161,10550,18,,,,,
Player 166,10600,14,,,,,
Player 173,10150,23,,,,,
Player 176,10200,20,,,,,
Player 185,10300,14,,,,,
Player 188,11250,22,,,,,
Player 191,10300,18,,,,,
Player 200,10000,17,,,,,
Player 203,15100,17,,,,,
Player 209,10300,14,,,,,
Player 213,13250,13,,,,,
Player 217,11250,16,,,,,
Player 221,10650,14,,,,,
Player 227,10850,16,,,,,
Player 235,10550,19,,,,,
Player 236,10400,18,,,,,
Player 241,10100,15,,,,,
Player 250,10350,18,,,,,
Player 254,10500,16,,,,,
Player 257,11250,14,,,,,
Player 261,10000,18,,,,,
Player 267,10400,16,,,,,
Player 272,12400,17,,,,,
Player 277,10250,18,,,,,
Player 285,10000,15,,,,,
Player 286,10050,20,,,,,
Player 292,13550,10,,,,,
Player 297,10350,19,,,,,
Player 304,10200,17,,,,,
Player 310,11400,8,,,,,
Player 313,10200,14,,,,,
Player 319,10250,15,,,,,
Player 321,10250,20,,,,,
Player 330,10550,16,,,,,
Player 333,10800,18,,,,,
Player 338,10050,18,,,,,
Player 343,10350,18,,,,,
Player 350,12400,18,,,,,
Player 355,11050,15,,,,,
Player 356,10450,15,,,,,
Player 364,11600,18,,,,,
Player 368,10300,19,,,,,
Player 373,10300,19,,,,,
Player 380,10550,11,,,,,
Player 385,10750,10,,,,,
Player 390,11550,18,,,,,
Player 395,10300,23,,,,,
Player 398,10900,18,,,,,
Player 405,10450,22,,,,,
Player 410,10050,13,,,,,
Player 411,10300,16,,,,,
Player 418,10150,7,,,,,
Player 425,10350,12,,,,,
Player 427,10850,18,,,,,
Player 434,10300,16,,,,,
Player 440,10950,11,,,,,
Player 442,10400,14,,,,,
Player 450,11400,19,,,,,
Player 455,11250,18,,,,,
